emp_no,first_name,last_name,title,from_date,to_date,hire_date
10002,Bezalel,Simmel,Staff,1996-08-03,9999-01-01,1985-11-21
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01,1985-02-18
10013,Eberhardt,Terkki,Senior Staff,1985-10-20,9999-01-01,1985-10-20
10029,Otmar,Herbst,Senior Engineer,2000-09-17,9999-01-01,1985-11-20
10061,Tse,Herber,Senior Staff,1989-12-02,9999-01-01,1985-09-17
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01,1985-10-14
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01,1985-07-09
10080,Premal,Baek,Senior Staff,2001-09-28,9999-01-01,1985-11-19
10112,Yuichiro,Swick,Staff,1998-05-01,9999-01-01,1985-10-08
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01,1985-09-08
10129,Armond,Peir,Technique Leader,1996-01-16,9999-01-01,1985-12-10
10133,Giri,Isaak,Senior Engineer,1991-12-15,9999-01-01,1985-12-15
10137,Maren,Hutton,Senior Staff,1994-02-18,9999-01-01,1985-02-18
10156,Sumali,Fargier,Senior Engineer,2001-05-14,9999-01-01,1985-03-10
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01,1985-11-02
10164,Jagoda,Braunmuhl,Senior Engineer,1999-10-19,9999-01-01,1985-11-12
10198,Pranav,Furedi,Senior Engineer,1993-08-31,9999-01-01,1985-08-31
10200,Vidya,Awdeh,Senior Engineer,2000-02-17,9999-01-01,1985-10-16
10223,Carrsten,Schmiedel,Engineer,1998-04-01,9999-01-01,1985-11-18
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01,1985-07-05
10243,Wonhee,Pouyioutas,Senior Staff,1986-06-07,9999-01-01,1985-11-24
10244,Foong,Flasterstein,Engineer,1999-09-16,9999-01-01,1985-12-23
10256,Irene,Radhakrishnan,Senior Staff,1990-10-12,9999-01-01,1985-10-12
10258,Basil,Ishibashi,Senior Engineer,1997-05-16,9999-01-01,1985-05-17
10273,Baocai,Lieblein,Senior Staff,1991-11-06,9999-01-01,1985-11-06
10277,Isaac,Schwartzbauer,Senior Staff,1991-06-16,9999-01-01,1985-06-16
10309,Prodip,Schusler,Assistant Engineer,1997-05-02,9999-01-01,1985-06-20
10318,Mototsugu,Beilner,Senior Engineer,1995-03-23,9999-01-01,1985-06-29
10319,Mechthild,Miyakawa,Senior Staff,1999-06-18,9999-01-01,1985-08-15
10326,Masali,Czap,Staff,1998-09-02,9999-01-01,1985-05-13
10330,Kasturi,Bellmore,Staff,1993-10-08,9999-01-01,1985-06-12
10331,Arto,Binkley,Senior Staff,1991-10-29,9999-01-01,1985-04-06
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01,1985-12-12
10351,Tadahiko,Strehl,Staff,1995-05-01,9999-01-01,1985-03-07
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01,1985-11-14
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01,1985-07-30
10380,Alejandro,Kamble,Senior Staff,1994-03-19,9999-01-01,1985-03-19
10386,Eishiro,Miyakawa,Senior Engineer,1994-08-02,9999-01-01,1985-08-02
10399,Guenter,Marchegay,Staff,2000-01-26,9999-01-01,1985-05-07
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01,1985-07-06
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01,1985-04-30
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01,1985-04-02
10469,Munehiko,Ananiadou,Senior Engineer,1985-06-05,9999-01-01,1985-06-05
10474,Kenton,Garnham,Senior Engineer,1992-02-21,9999-01-01,1985-09-28
10485,Teruyuki,Sundgren,Engineer,1996-01-21,9999-01-01,1985-10-27
10495,Anyuan,Zhiwei,Technique Leader,1989-09-24,9999-01-01,1985-09-29
10507,Kasidit,Belinskaya,Senior Staff,1999-09-30,9999-01-01,1985-04-26
10516,Xiadong,Luga,Senior Engineer,1994-10-19,9999-01-01,1985-10-19
10524,Shigehiro,Cincotta,Senior Engineer,1993-10-09,9999-01-01,1985-10-09
10535,Shalesh,Stroustrup,Senior Staff,1996-08-21,9999-01-01,1985-02-21
10550,Manton,Leuchs,Senior Engineer,1994-02-03,9999-01-01,1985-02-03
10553,Rajmohan,Wallrath,Senior Engineer,1996-07-21,9999-01-01,1985-10-27
10571,Fun,Varman,Senior Engineer,1997-02-23,9999-01-01,1985-02-24
10579,Aiman,Stentiford,Senior Engineer,1991-06-02,9999-01-01,1985-09-01
10600,Emran,Rettelbach,Senior Staff,1997-04-27,9999-01-01,1985-12-22
10605,Moti,Wixon,Senior Engineer,1998-07-01,9999-01-01,1985-04-29
10628,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01,1985-09-11
10633,Sorina,Herber,Staff,1997-05-16,9999-01-01,1985-06-17
10651,Zijian,Maginnis,Senior Staff,2002-01-07,9999-01-01,1985-08-07
10655,Remko,Dalton,Senior Staff,1997-07-04,9999-01-01,1985-07-14
10688,Xiaopeng,Lanphier,Senior Staff,1986-04-13,9999-01-01,1985-03-25
10699,Hatim,Deverell,Senior Engineer,1993-11-17,9999-01-01,1985-11-17
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01,1985-07-23
10716,Aiman,Constantine,Senior Engineer,1993-08-11,9999-01-01,1985-08-20
10720,Odinaldo,Kruskal,Senior Staff,1996-06-26,9999-01-01,1985-08-01
10726,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01,1985-09-01
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01,1985-04-03
10735,Morrie,Gewali,Senior Staff,1993-10-29,9999-01-01,1985-10-29
10739,Gor,Iacovou,Engineer,1994-03-30,9999-01-01,1985-03-12
10743,Kiyomitsu,Peltason,Staff,1999-11-05,9999-01-01,1985-06-10
10749,King,Brendel,Senior Engineer,1990-09-26,9999-01-01,1985-09-26
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,9999-01-01,1985-07-04
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01,1985-05-21
10802,Masato,Setlzner,Senior Engineer,1990-08-24,9999-01-01,1985-08-24
10824,Kirk,Kalsbeek,Staff,1995-08-01,9999-01-01,1985-03-18
10825,Fan,Fairtlough,Senior Engineer,1998-12-04,9999-01-01,1985-12-30
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01,1985-07-28
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01,1985-07-26
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01,1985-04-20
10862,Zhenbing,Kadhim,Senior Staff,1992-07-23,9999-01-01,1985-07-23
10863,Byong,Bhattacharjee,Senior Engineer,1991-12-25,9999-01-01,1985-12-25
10864,Elliott,Spieker,Senior Staff,1992-09-24,9999-01-01,1985-09-04
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01,1985-08-15
10908,Rajmohan,Koblick,Senior Staff,1993-04-05,9999-01-01,1985-10-08
10909,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01,1985-04-21
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01,1985-10-26
10938,Shaowei,Iisaku,Senior Staff,1993-09-24,9999-01-01,1985-09-24
10968,Lakshmi,Kolinko,Senior Staff,1985-08-11,9999-01-01,1985-08-11
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01,1985-11-25
10978,Huiqun,Bellone,Senior Engineer,1990-05-18,9999-01-01,1985-05-18
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01,1985-10-11
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,9999-01-01,1985-06-19
10989,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01,1985-07-20
11019,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01,1985-02-04
11021,Srinidhi,Henders,Staff,1998-02-02,9999-01-01,1985-05-24
11031,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01,1985-04-26
11038,Jinya,Beidas,Senior Staff,1992-07-15,9999-01-01,1985-07-15
11041,Stamatina,Matheson,Senior Engineer,1995-01-24,9999-01-01,1985-08-12
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01,1985-02-26
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01,1985-08-09
11058,Shigeaki,Cyre,Senior Staff,1985-06-07,9999-01-01,1985-06-07
11065,Filipe,Rathonyi,Senior Engineer,1991-11-14,9999-01-01,1985-11-14
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01,1985-07-24
11072,Arfst,Pulkowski,Staff,1994-08-04,9999-01-01,1985-12-27
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01,1985-06-17
11099,Woody,Spataro,Senior Staff,1990-12-31,9999-01-01,1985-12-31
11106,Aris,Iwayama,Senior Engineer,1997-08-30,9999-01-01,1985-08-31
11109,Chinho,Stamatiou,Senior Staff,1993-03-29,9999-01-01,1985-03-29
11113,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01,1985-11-30
11139,Bogdan,Homond,Senior Staff,1995-05-11,9999-01-01,1985-12-24
11142,Moheb,Raney,Senior Engineer,1998-11-04,9999-01-01,1985-07-13
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01,1985-07-06
11151,Gor,Reinhard,Senior Engineer,1994-06-16,9999-01-01,1985-03-20
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01,1985-03-28
11184,Masoud,Theuretzbacher,Senior Staff,1994-04-27,9999-01-01,1985-04-27
11202,Marek,Ranon,Senior Staff,2002-02-25,9999-01-01,1985-02-17
11204,Diederik,Covnot,Technique Leader,1985-09-18,9999-01-01,1985-09-18
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01,1985-09-17
11212,Teruyuki,Peternell,Senior Staff,1994-10-16,9999-01-01,1985-10-16
11227,Dayanand,Figueira,Senior Staff,1994-03-08,9999-01-01,1985-03-08
11239,Gurbir,Kenevan,Senior Staff,1993-09-07,9999-01-01,1985-06-25
11244,Navin,Restivo,Senior Staff,1990-06-08,9999-01-01,1985-06-08
11249,Randi,Cyre,Engineer,1994-09-22,9999-01-01,1985-08-29
11251,Bezalel,Chinal,Senior Staff,1993-06-15,9999-01-01,1985-11-26
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01,1985-05-17
11284,Bernice,Felcyn,Engineer,1994-04-25,9999-01-01,1985-04-25
11290,Visit,Dredge,Engineer,1999-05-13,9999-01-01,1985-09-08
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01,1985-05-15
11299,Christfried,Tokunaga,Senior Engineer,1994-11-24,9999-01-01,1985-04-27
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01,1985-02-08
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01,1985-08-29
11345,Youngkon,Maierhofer,Engineer,1998-11-25,9999-01-01,1985-03-30
11350,Zito,Moehrke,Senior Engineer,1997-07-20,9999-01-01,1985-07-21
11352,Toney,Terekhov,Senior Engineer,1992-11-25,9999-01-01,1985-11-25
11356,Hercules,Gerlach,Senior Engineer,1994-12-04,9999-01-01,1985-10-26
11362,Tooru,Hockney,Senior Engineer,1994-10-29,9999-01-01,1985-02-10
11375,Dmitri,Noriega,Senior Staff,1985-05-27,9999-01-01,1985-05-27
11388,Rosine,Gerteisen,Senior Engineer,1991-12-20,9999-01-01,1985-12-20
11393,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01,1985-04-30
11402,Freyja,Brizzi,Senior Staff,1991-03-10,9999-01-01,1985-03-10
11447,Rasiah,Billawala,Senior Engineer,1985-09-18,9999-01-01,1985-09-18
11458,Stevo,Chenoweth,Senior Staff,1993-10-06,9999-01-01,1985-10-06
11465,Tomoyuki,Porenta,Senior Engineer,1993-07-14,9999-01-01,1985-07-14
11486,Itzchak,Ramaiah,Senior Staff,1992-05-31,9999-01-01,1985-05-31
11518,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01,1985-07-03
11530,Oscar,Jarecki,Senior Staff,1999-08-31,9999-01-01,1985-06-10
11542,Maia,Kawashima,Senior Staff,1992-06-20,9999-01-01,1985-06-20
11549,Guoxiang,Juneja,Engineer,1999-03-07,9999-01-01,1985-05-06
11551,Subhrajyoti,Gonthier,Senior Engineer,1986-05-09,9999-01-01,1985-04-21
11572,Vidya,Quittner,Senior Engineer,1991-08-23,9999-01-01,1985-02-28
11580,Chanjung,Tanemo,Senior Engineer,1985-07-06,9999-01-01,1985-07-06
11584,Pradeep,Waymire,Senior Engineer,1985-06-20,9999-01-01,1985-06-20
11603,Herb,Swen,Senior Staff,1994-04-13,9999-01-01,1985-04-13
11610,Eirik,Sidhu,Senior Engineer,1991-10-18,9999-01-01,1985-10-18
11645,Olivera,Setia,Engineer,1994-06-10,9999-01-01,1985-06-10
11655,Gift,Broomell,Senior Engineer,1998-09-23,9999-01-01,1985-03-05
11662,Mokhtar,Hofting,Senior Staff,2000-02-16,9999-01-01,1985-10-05
11668,Hiroyasu,Wursthorn,Senior Staff,1999-10-27,9999-01-01,1985-10-30
11670,Evgueni,Kroon,Senior Staff,1985-05-17,9999-01-01,1985-05-17
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01,1985-03-16
11678,Zhaofang,Bernick,Senior Engineer,1990-02-24,9999-01-01,1985-02-24
11696,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01,1985-10-23
11709,Insup,Wossner,Senior Engineer,1991-11-09,9999-01-01,1985-11-09
11719,Claudi,Baez,Engineer,1996-01-20,9999-01-01,1985-05-21
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,9999-01-01,1985-08-11
11739,Venkatesan,Serot,Senior Engineer,1998-03-20,9999-01-01,1985-02-10
11749,Masamitsu,Penttonen,Senior Engineer,2002-07-02,9999-01-01,1985-08-26
11753,Fayez,Nishimukai,Senior Staff,1999-05-01,9999-01-01,1985-11-16
11760,Along,Miake,Senior Engineer,1997-09-14,9999-01-01,1985-09-15
11767,Ortrud,Kusakabe,Engineer,1994-12-19,9999-01-01,1985-06-24
11775,Sajjad,Xiaoshan,Senior Engineer,1994-11-15,9999-01-01,1985-02-06
11809,Anneli,Bennis,Senior Engineer,1994-03-02,9999-01-01,1985-03-12
11828,Mikhail,Paciorek,Senior Staff,1991-06-12,9999-01-01,1985-03-14
11833,Yolla,Levasseur,Staff,1999-07-15,9999-01-01,1985-09-20
11843,Zongyan,Slaats,Senior Engineer,1998-02-20,9999-01-01,1985-05-26
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01,1985-11-12
11867,Basim,Bhattacharjee,Engineer,1996-12-05,9999-01-01,1985-11-02
11908,Candida,Iisaku,Senior Staff,1991-10-16,9999-01-01,1985-10-16
11912,Kristian,Giaccio,Senior Engineer,1985-11-13,9999-01-01,1985-11-13
11920,Kasturi,Chinal,Engineer,1994-12-24,9999-01-01,1985-12-24
11942,Uri,Scharstein,Senior Engineer,1992-04-06,9999-01-01,1985-04-06
11949,Martijn,Harbusch,Technique Leader,1985-03-11,9999-01-01,1985-03-11
11982,Marsha,Hasenauer,Senior Engineer,1985-12-17,9999-01-01,1985-12-17
11985,Baocai,Wiegley,Senior Engineer,1994-12-18,9999-01-01,1985-12-18
11991,Qunsheng,Esteva,Senior Staff,1994-09-29,9999-01-01,1985-09-29
12027,Zhanqiu,Vuskovic,Technique Leader,1985-11-23,9999-01-01,1985-11-23
12048,Rosine,Schwabacher,Senior Engineer,1992-05-25,9999-01-01,1985-05-25
12051,Youpyo,Suermann,Senior Engineer,1991-09-28,9999-01-01,1985-09-28
12062,Margareta,Worfolk,Senior Staff,1996-01-04,9999-01-01,1985-02-03
12066,Junichi,Deville,Senior Staff,1991-09-20,9999-01-01,1985-09-20
12069,Ayonca,Burnard,Senior Engineer,1995-05-13,9999-01-01,1985-05-13
12075,JiYoung,Felcyn,Senior Engineer,1993-07-30,9999-01-01,1985-04-28
12076,Karlis,Siprelle,Senior Staff,1985-03-25,9999-01-01,1985-03-25
12079,Michaela,Suwa,Senior Staff,1994-12-09,9999-01-01,1985-12-09
12097,Mostafa,Serdy,Senior Staff,1993-09-07,9999-01-01,1985-11-12
12115,Moni,Candan,Senior Engineer,2001-03-19,9999-01-01,1985-03-19
12136,Slavian,Huxford,Senior Engineer,1991-08-02,9999-01-01,1985-08-02
12157,Georgi,Barinka,Senior Staff,1991-06-04,9999-01-01,1985-06-04
12159,Shem,Perly,Senior Engineer,1985-07-17,9999-01-01,1985-07-17
12165,Xiaobin,Maquelin,Senior Engineer,1994-08-29,9999-01-01,1985-04-27
12192,Feiyu,Klyachko,Senior Engineer,1991-09-02,9999-01-01,1985-03-16
12199,Huan,Poupard,Senior Staff,1993-06-22,9999-01-01,1985-06-22
12206,Barton,Janetzko,Senior Engineer,2001-03-27,9999-01-01,1985-03-27
12208,Bartek,Passino,Senior Staff,1993-02-06,9999-01-01,1985-11-20
12218,Yaghout,Strooper,Senior Engineer,2000-03-11,9999-01-01,1985-02-18
12221,Vincent,Melter,Senior Engineer,1991-09-16,9999-01-01,1985-09-16
12224,Nikolaus,Lenart,Staff,1995-01-27,9999-01-01,1985-05-15
12232,Subhankar,Ratnakar,Senior Staff,1997-10-07,9999-01-01,1985-04-08
