emp_no,first_name,last_name,title,from_date,to_date
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01
38043,Michaela,Randi,Senior Engineer,1994-11-23,9999-01-01
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,9999-01-01
64790,Shin,Piveteau,Senior Engineer,1993-04-19,9999-01-01
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,9999-01-01
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01
81995,Sreekrishna,Brender,Senior Engineer,1996-03-21,9999-01-01
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01
86422,Jaewon,Thummel,Senior Staff,1992-09-14,9999-01-01
86546,Oldrich,Woycyznski,Senior Engineer,1990-05-15,9999-01-01
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01
89048,Otmar,Birjandi,Senior Engineer,1992-03-23,9999-01-01
90077,Vivian,Guerreiro,Engineer,1998-07-08,9999-01-01
90692,Rajmohan,DasSarma,Senior Staff,1990-09-14,9999-01-01
91229,Yahiko,Hebden,Senior Engineer,2001-10-03,9999-01-01
91648,Dmitry,Msuda,Senior Staff,1997-10-22,9999-01-01
92920,Huei,Hutter,Senior Engineer,2000-01-29,9999-01-01
93220,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01
96767,Arumugam,Vecchio,Senior Engineer,1992-08-14,9999-01-01
98306,Ziya,Kadhim,Senior Engineer,1995-11-02,9999-01-01
99373,Xiaobin,Christianini,Senior Staff,1991-12-25,9999-01-01
99654,Mahendra,Motley,Senior Staff,1992-09-28,9999-01-01
103316,Susanne,Peternell,Senior Engineer,1999-07-27,9999-01-01
106695,Lijie,Garrabrants,Senior Staff,1990-10-02,9999-01-01
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01
108091,Hisao,Ghemri,Senior Staff,1990-11-14,9999-01-01
108198,Randi,Samarati,Senior Staff,1999-10-21,9999-01-01
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,9999-01-01
109211,Gor,Delgrande,Senior Engineer,2001-11-06,9999-01-01
203599,Ewing,DiGiano,Technique Leader,2000-02-01,9999-01-01
204246,Arve,Worfolk,Senior Staff,1990-04-01,9999-01-01
208784,Pranjal,Juneja,Senior Engineer,1985-03-21,9999-01-01
211858,Domenico,Ratnaker,Senior Engineer,1993-03-24,9999-01-01
213384,Pranas,Narwekar,Senior Engineer,1993-09-26,9999-01-01
214866,Gopalakrishnan,Angel,Senior Engineer,2002-07-05,9999-01-01
216054,Sahrah,Angiulli,Senior Staff,1991-07-31,9999-01-01
216375,Byong,Gustavson,Senior Engineer,1985-03-12,9999-01-01
217363,Horward,Marzano,Staff,1996-04-11,9999-01-01
220029,Demos,Asser,Senior Engineer,1985-11-04,9999-01-01
222311,Miyeon,Billingsley,Senior Engineer,1992-12-05,9999-01-01
222998,Leaf,Awdeh,Senior Staff,1991-02-20,9999-01-01
224335,Perry,Chachaty,Senior Engineer,1992-07-22,9999-01-01
225788,Ipke,Kieras,Engineer,1995-12-18,9999-01-01
229981,Jamaludin,Fordan,Senior Engineer,2001-02-05,9999-01-01
231671,Chandrasekaran,Pearson,Staff,1995-04-14,9999-01-01
233690,Cedric,Riefers,Engineer,1994-09-08,9999-01-01
233759,Zissis,Lodder,Engineer,1999-09-25,9999-01-01
233818,Kellie,Heydon,Senior Engineer,1991-11-11,9999-01-01
236591,Insup,Reinhard,Senior Staff,1993-04-08,9999-01-01
240285,Kolar,Greenaway,Staff,1998-11-14,9999-01-01
240340,Mack,Staylopatis,Senior Engineer,1991-04-02,9999-01-01
240870,Francesca,Chorvat,Senior Staff,1993-03-03,9999-01-01
241254,Jagoda,Anguita,Senior Engineer,1993-05-11,9999-01-01
241567,Emran,Miara,Senior Engineer,1995-05-02,9999-01-01
241667,Atilio,Olivero,Senior Engineer,1992-09-04,9999-01-01
243637,Marjo,Delgrange,Senior Staff,1996-06-23,9999-01-01
246764,Shuzo,Czaja,Staff,1997-11-29,9999-01-01
246902,Shih,Shanbhogue,Staff,1998-04-19,9999-01-01
247888,Abdelghani,Lagarias,Senior Engineer,1992-09-06,9999-01-01
248351,Jaana,Milicia,Senior Staff,1985-06-02,9999-01-01
250748,Kish,Turnbull,Senior Engineer,1994-02-10,9999-01-01
251166,Hinrich,Hooghiemstra,Senior Staff,1993-10-05,9999-01-01
251341,Divier,Kumaresan,Senior Staff,1998-12-05,9999-01-01
251680,Moty,Sommen,Senior Engineer,1990-08-14,9999-01-01
255466,Huan,Roccetti,Senior Engineer,1985-07-03,9999-01-01
255657,Oldrich,Cyre,Senior Engineer,1994-02-10,9999-01-01
260249,Vugranam,Beausoleil,Staff,1998-05-14,9999-01-01
262210,Chinho,Bottner,Senior Engineer,1999-07-30,9999-01-01
262439,Lorien,Lagarias,Senior Staff,1994-10-10,9999-01-01
262636,Tamiya,Reutenauer,Senior Engineer,1985-06-02,9999-01-01
263926,Fusako,Schwartzbauer,Senior Staff,1993-04-07,9999-01-01
264939,Bogdan,Bahi,Senior Engineer,1992-02-10,9999-01-01
266206,Zsolt,Anily,Senior Staff,1991-08-19,9999-01-01
272285,Gully,Mitchem,Senior Staff,1995-01-22,9999-01-01
273159,Divine,Hofmeyr,Technique Leader,1989-04-14,9999-01-01
276186,Sajjad,Vecchi,Senior Staff,1998-06-02,9999-01-01
277829,Michaela,Fandrianto,Senior Engineer,1986-06-02,9999-01-01
281848,Parke,Staylopatis,Senior Engineer,1999-07-31,9999-01-01
281859,Masanao,Papastamatiou,Senior Engineer,1993-11-25,9999-01-01
284687,Oksana,Redmiles,Senior Engineer,1992-06-22,9999-01-01
288028,Kauko,Narwekar,Senior Engineer,1994-12-16,9999-01-01
289454,Bowen,Narwekar,Senior Engineer,1985-03-08,9999-01-01
289687,Fai,Maccarone,Senior Staff,1993-10-30,9999-01-01
291669,Faiza,Bach,Engineer,1999-09-13,9999-01-01
292515,Bernd,Thummel,Engineer,1998-08-03,9999-01-01
294461,Siddarth,Rosiles,Senior Engineer,1985-11-18,9999-01-01
294652,Hironobu,Brodie,Senior Engineer,1993-09-17,9999-01-01
295030,Fun,Keirsey,Senior Staff,1985-07-09,9999-01-01
295254,Xuejun,Pfau,Senior Staff,1993-07-24,9999-01-01
298577,Florina,Litecky,Senior Staff,1994-12-02,9999-01-01
299737,Patricio,Itzfeldt,Senior Staff,1994-05-21,9999-01-01
400780,Poornachandra,Asser,Engineer,1993-11-07,9999-01-01
403010,Toshimitsu,Sluis,Senior Engineer,1985-02-18,9999-01-01
404462,Anestis,Setlzner,Senior Engineer,1991-07-13,9999-01-01
410028,Xiadong,McClurg,Senior Staff,1994-09-17,9999-01-01
410881,Koichi,Grabner,Senior Engineer,1990-04-24,9999-01-01
413098,Hsiangchu,Taubenfeld,Senior Staff,1999-04-17,9999-01-01
414091,Wuxu,Kuhnemann,Engineer,1997-08-19,9999-01-01
414543,Bernd,Anick,Senior Engineer,1988-11-19,9999-01-01
414662,Ipke,Schneeberger,Senior Engineer,1994-09-20,9999-01-01
415187,Juyoung,Peltason,Assistant Engineer,1998-09-01,9999-01-01
416074,Alain,Lieberherr,Senior Engineer,1996-05-10,9999-01-01
416892,Shooichi,Vandervoorde,Engineer,1996-08-16,9999-01-01
418309,Danel,Petereit,Senior Engineer,1994-02-21,9999-01-01
419099,Heon,Broomell,Staff,1998-05-06,9999-01-01
420086,Susuma,Kitsuregawa,Senior Engineer,1993-05-28,9999-01-01
420476,Mariangiola,Bolsens,Senior Staff,1994-06-15,9999-01-01
420732,Willard,Morrin,Senior Staff,2001-05-27,9999-01-01
423633,Mariusz,Tokunaga,Senior Engineer,1985-02-11,9999-01-01
424797,Theron,Itschner,Senior Staff,1993-05-16,9999-01-01
424984,Vasilis,Waleschkowski,Engineer,1996-05-26,9999-01-01
426153,Shahaf,Luce,Senior Staff,1999-04-06,9999-01-01
