emp_no,first_name,last_name,title,from_date,to_date,salary
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01,63668
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01,42284
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01,57430
10410,Takahito,Gecsei,Staff,1993-10-16,1996-07-21,46546
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01,58221
10480,Make,Baba,Staff,1988-05-18,1989-06-03,55669
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01,47521
10762,Lech,Himler,Senior Staff,1999-01-21,9999-01-01,52172
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01,40000
11015,Jeanna,Riesenhuber,Senior Staff,1998-03-14,2000-02-22,57076
11126,Hideo,Daescu,Senior Staff,1999-02-25,2002-04-04,40000
11157,Mario,Cochrane,Engineer,1985-03-30,1991-02-06,50629
11432,Yongmao,Zwicker,Senior Engineer,1996-10-18,1997-09-13,40208
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01,55355
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01,40000
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01,114784
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01,40000
13957,Angus,Chelton,Senior Engineer,1986-04-18,1987-02-02,62604
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01,40000
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01,40327
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01,50454
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01,67559
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01,72512
14551,Richard,Sinitsyn,Senior Staff,1993-06-27,1993-09-16,83296
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01,69351
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01,46188
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01,62294
15376,Geoff,Soicher,Senior Staff,1996-08-14,2001-03-01,40000
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01,40000
16461,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01,83638
16528,Gaurav,Swick,Engineer,2001-05-07,9999-01-01,49557
17013,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01,55776
17206,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01,40000
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01,40000
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01,65188
17618,Teiji,Picco,Staff,1992-09-17,1999-11-08,40000
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01,68972
17799,Gro,Gini,Engineer,1997-09-28,2001-07-11,72593
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01,40000
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01,52284
18021,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01,40000
18187,Denis,Falster,Staff,1998-12-21,1999-06-03,63588
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01,40000
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01,40000
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01,40000
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01,40000
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01,67760
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01,41182
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01,71465
